datetime,pm2p5
2022-03-28 23:59:59,3.7
2022-03-29 23:59:59,4.4
2022-03-30 23:59:59,4.3
2022-03-31 23:59:59,2.6
2022-04-01 23:59:59,3.6
2022-04-02 23:59:59,4.4
2022-04-03 23:59:59,5.1
2022-04-04 23:59:59,4.5
2022-04-05 23:59:59,4.6
2022-04-06 23:59:59,0.5
2022-04-07 23:59:59,4.6
2022-04-08 23:59:59,3.4
2022-04-09 23:59:59,6
2022-04-10 23:59:59,5.4
2022-04-11 23:59:59,5
2022-04-12 23:59:59,5.5
2022-04-13 23:59:59,3
2022-04-14 23:59:59,6
2022-04-15 23:59:59,5.7
2022-04-16 23:59:59,5
2022-04-17 23:59:59,5.3
2022-04-18 23:59:59,6.8
2022-04-19 23:59:59,9.6
2022-04-20 23:59:59,7.5
2022-04-21 23:59:59,4.7
2022-04-22 23:59:59,0.4
2022-04-23 23:59:59,4.3
2022-04-24 23:59:59,1.3
2022-04-25 23:59:59,4.1
2022-04-26 23:59:59,7.7
2022-04-27 23:59:59,6.7
2022-04-28 23:59:59,3.7
2022-04-29 23:59:59,4.1
2022-04-30 23:59:59,5
2022-05-01 23:59:59,5.8
2022-05-02 23:59:59,3.5
2022-05-03 23:59:59,5.5
2022-05-04 23:59:59,4.9
2022-05-05 23:59:59,6.3
2022-05-06 23:59:59,8.1
2022-05-07 23:59:59,7.5
2022-05-08 23:59:59,8
2022-05-09 23:59:59,6.8
2022-05-10 23:59:59,4.6
2022-05-11 23:59:59,9.5
2022-05-12 23:59:59,13.6
2022-05-13 23:59:59,13.5
2022-05-14 23:59:59,5
2022-05-15 23:59:59,7.5
2022-05-16 23:59:59,4.5
2022-05-17 23:59:59,15.2
2022-05-18 23:59:59,10.2
2022-05-19 23:59:59,9.1
2022-05-20 23:59:59,7
2022-05-21 23:59:59,7.3
2022-05-22 23:59:59,5.8
2022-05-23 23:59:59,21
2022-05-24 23:59:59,11.8
2022-05-25 23:59:59,7.5
2022-05-26 23:59:59,10.5
2022-05-27 23:59:59,17.5
2022-05-28 23:59:59,19.1
2022-05-29 23:59:59,27.7
2022-05-30 23:59:59,15.1
2022-05-31 23:59:59,7.6
2022-06-01 23:59:59,5.6
2022-06-02 23:59:59,16.8
2022-06-03 23:59:59,17.3
2022-06-04 23:59:59,24.4
2022-06-05 23:59:59,17.9
2022-06-06 23:59:59,12
2022-06-07 23:59:59,5.5
2022-06-08 23:59:59,10.1
2022-06-09 23:59:59,16.5
2022-06-10 23:59:59,11.9
2022-06-11 23:59:59,18.1
2022-06-12 23:59:59,14.1
2022-06-13 23:59:59,14.7
2022-06-14 23:59:59,20.9
2022-06-15 23:59:59,11.2
2022-06-16 23:59:59,33.6
2022-06-17 23:59:59,30.3
2022-06-18 23:59:59,28.2
2022-06-19 23:59:59,26.3
2022-06-20 23:59:59,36.4
2022-06-21 23:59:59,36.2
2022-06-22 00:00:01,0
gap,gap
2022-06-23 00:00:01,0
2022-06-23 23:59:59,43.7
2022-06-24 23:59:59,17.6
2022-06-25 23:59:59,19.2
2022-06-26 23:59:59,23.1
2022-06-27 23:59:59,29
2022-06-28 23:59:59,22.8
2022-06-29 23:59:59,23.7
2022-06-30 23:59:59,35.6
2022-07-01 23:59:59,13.7
2022-07-02 23:59:59,24.8
2022-07-03 23:59:59,12.7
2022-07-04 23:59:59,27.2
2022-07-05 23:59:59,27.1
2022-07-06 23:59:59,18.9
2022-07-07 23:59:59,24.8
2022-07-08 23:59:59,13.1
2022-07-09 23:59:59,9.6
2022-07-10 23:59:59,6.7
2022-07-11 23:59:59,8.1
2022-07-12 23:59:59,5.4
2022-07-13 23:59:59,23.1
2022-07-14 23:59:59,18.5
2022-07-15 23:59:59,20.4
2022-07-16 23:59:59,28.7
2022-07-17 23:59:59,33.8
2022-07-18 23:59:59,14.3
2022-07-19 23:59:59,11.2
2022-07-20 23:59:59,14.3
2022-07-21 23:59:59,7
2022-07-22 23:59:59,30.5
2022-07-23 23:59:59,32.4
2022-07-24 23:59:59,22.3
2022-07-25 23:59:59,15.3
2022-07-26 23:59:59,7.7
2022-07-27 23:59:59,13.3
2022-07-28 23:59:59,9.9
2022-07-29 23:59:59,12.6
2022-07-30 23:59:59,10.3
2022-07-31 23:59:59,17.8
2022-08-01 23:59:59,24.4
