datetime,pm10
2022-07-31 23:59:59,21
2022-08-01 23:59:59,27
2022-08-02 23:59:59,23
2022-08-03 23:59:59,14
2022-08-04 23:59:59,30
2022-08-05 23:59:59,38
2022-08-06 23:59:59,13
2022-08-07 23:59:59,19
2022-08-08 23:59:59,7
2022-08-09 23:59:59,18
2022-08-10 23:59:59,31
2022-08-11 23:59:59,31
2022-08-12 23:59:59,32
2022-08-13 23:59:59,24
2022-08-14 23:59:59,32
2022-08-15 23:59:59,36
2022-08-16 23:59:59,16
2022-08-17 23:59:59,5
2022-08-18 23:59:59,2
2022-08-19 23:59:59,4
2022-08-20 23:59:59,7
2022-08-21 23:59:59,14
2022-08-22 23:59:59,17
2022-08-23 23:59:59,17
2022-08-24 23:59:59,13
2022-08-25 23:59:59,13
2022-08-26 23:59:59,22
2022-08-27 23:59:59,18
2022-08-28 23:59:59,15
2022-08-29 23:59:59,11
2022-08-30 23:59:59,14
2022-08-31 00:00:01,0
gap,gap
2022-09-01 00:00:01,0
2022-09-01 23:59:59,21
2022-09-02 23:59:59,14
2022-09-03 23:59:59,13
2022-09-04 23:59:59,10
2022-09-05 23:59:59,10
2022-09-06 23:59:59,13
2022-09-07 23:59:59,24
2022-09-08 23:59:59,21
2022-09-09 23:59:59,13
2022-09-10 23:59:59,9
2022-09-11 23:59:59,10
2022-09-12 23:59:59,8
2022-09-13 23:59:59,14
2022-09-14 23:59:59,11
