wd,ws <=5,ws 5 - 8,ws 8 - 11,ws 11 - 14,ws 14 - 17,ws 17 - 20,ws >20
-999,0.22999479257073424,0,0,0,0,0,0
22.5,2.218853063704218,0.6248915118902971,0.2563031591737541,0.11472617601110935,0.01708687727824998,0.0073229474049645304,0
45,2.1846793091477177,0.5492210553723313,0.17819172018746698,0.034173754556500846,0.004881964936642724,0.004881964936643168,0
67.5,2.4898021176879013,1.0252126366950183,0.2563031591737541,0.03661473702482221,0.0024409824683222503,0,0
90,3.025190939073078,0.8820083318868246,0.09763929873285937,0.0032546432910942613,0.0032546432910960377,0,0
112.5,4.169198055893074,2.9682346814789105,0.785996354799515,0.09275733379621443,0.007322947404965419,0,0
135,4.6744814268356185,3.4442262628015987,1.2449010588439489,0.24165726436382684,0.004881964936643612,0.002440982468321806,0
157.5,3.080519875021698,1.4987632355493834,0.659065266446798,0.17575073771914607,0.004881964936643612,0.00244098246832003,0
180,1.6191850373199097,0.1513409130359309,0.05370161430307241,0.00813660822773854,0.0016273216455475747,0,0
202.5,2.008928571428571,0.10008028120118073,0.014645894809928617,0.004881964936642724,0.002440982468321362,0,0
225,2.3238153098420415,0.28315396632529044,0.04149670196146493,0.0073229474049645304,0.004881964936643168,0,0
247.5,2.5386217670543307,1.0300946016316614,0.5418981079673664,0.26606708904704046,0.08787536885957348,0.002440982468320918,0
270,3.8876714112133315,5.153727651449401,5.754209338656482,2.0715804547821577,0.18388734594688216,0.004881964936643612,0
292.5,5.292049991320951,6.158598767575075,3.041464155528555,0.4930784586009338,0.024409824683216286,0,0
315,3.1659542614129492,3.7224982641902447,1.5329369901058847,0.17330975525082337,0.007322947404963642,0,0
337.5,2.3311382572470056,1.84050078111439,0.8250520742926568,0.11472617601110979,0.019527859746570897,0,0
360,2.2961508418677314,1.2188639125151886,0.6883570560666548,0.27664467974310014,0.06834750911300169,0.0016273216455466866,0
